userid,cms_segid,cms_group_id,final_gender_code,age_level,pvalue_level,shopping_level,occupation,new_user_class_level 
12195,0,10,1,4,,3,0,2.0
88820,0,10,1,4,,3,0,
121767,0,4,2,4,2.0,3,0,
126411,0,2,2,2,,3,0,
147187,0,9,1,3,,3,0,2.0
205292,0,2,2,2,,2,0,
283698,20,3,2,3,2.0,3,0,3.0
302986,35,4,2,4,3.0,3,0,2.0
358384,5,2,2,2,1.0,3,1,3.0
361413,5,2,2,2,2.0,3,1,
364925,0,5,2,5,,3,0,2.0
405977,0,5,2,5,,2,0,
438950,0,2,2,2,2.0,3,0,
442627,0,3,2,3,,3,0,3.0
469044,0,5,2,5,,3,0,3.0
523623,88,11,1,5,1.0,3,0,2.0
556225,0,11,1,5,2.0,3,0,
655127,0,10,1,4,,2,0,2.0
686337,49,6,2,6,1.0,3,0,1.0
691374,0,3,2,3,,3,0,
724450,7,2,2,2,2.0,3,0,2.0
728027,0,7,1,1,,2,0,
748155,0,5,2,5,,2,0,
765635,21,3,2,3,3.0,3,0,2.0
767935,0,10,1,4,,2,0,
800181,30,4,2,4,1.0,3,0,2.0
830405,0,9,1,3,,1,0,
830423,0,5,2,5,,3,0,
886089,30,4,2,4,1.0,3,0,2.0
915201,0,3,2,3,,3,0,2.0
915700,19,3,2,3,2.0,3,0,2.0
982535,7,2,2,2,1.0,3,0,2.0
1067172,44,5,2,5,2.0,3,0,2.0
1091364,0,4,2,4,,3,0,2.0
1092054,0,5,2,5,1.0,2,0,
1041,88,11,1,5,1.0,3,0,2.0
5763,0,2,2,2,,3,0,
58522,44,5,2,5,2.0,3,0,2.0
77065,7,2,2,2,2.0,3,0,2.0
151814,16,3,2,3,1.0,3,0,2.0
154527,0,11,1,5,,3,0,
174015,0,8,1,2,,3,0,4.0
180953,0,8,1,2,,1,0,
190530,6,2,2,2,1.0,2,0,
212500,0,3,2,3,,3,0,4.0
218973,0,2,2,2,,3,0,2.0
238501,0,3,2,3,,3,0,
245510,0,4,2,4,,2,0,3.0
261175,65,9,1,3,1.0,3,0,3.0
275341,0,5,2,5,,3,0,2.0
284344,0,5,2,5,,3,0,
287497,0,10,1,4,,3,0,1.0
300614,0,4,2,4,,2,0,
326054,0,3,2,3,,3,0,
358960,0,10,1,4,,3,0,3.0
367989,0,5,2,5,,3,0,2.0
384424,0,11,1,5,3.0,3,0,
399077,0,11,1,5,,3,0,1.0
440152,0,4,2,4,,3,0,2.0
443268,44,5,2,5,2.0,3,0,2.0
508073,0,3,2,3,,3,0,
532655,43,5,2,5,2.0,3,0,1.0
548863,0,2,2,2,,1,0,
563998,0,4,2,4,,2,0,
582936,50,7,1,1,2.0,2,1,
612076,0,4,2,4,,3,0,
616772,44,5,2,5,2.0,3,0,2.0
626182,33,4,2,4,2.0,3,0,2.0
654163,0,1,2,1,,3,0,
673428,33,4,2,4,2.0,3,0,2.0
674709,0,9,1,3,,1,0,
736830,0,4,2,4,,3,0,1.0
737683,19,3,2,3,2.0,3,0,2.0
737889,0,5,2,5,,3,0,3.0
750184,0,11,1,5,,3,0,2.0
781345,19,3,2,3,2.0,3,0,2.0
806217,0,9,1,3,,3,0,
816967,17,3,2,3,1.0,3,0,3.0
825496,8,2,2,2,2.0,3,0,3.0
943898,0,11,1,5,,1,0,
986368,0,3,2,3,,3,0,2.0
1016180,0,5,2,5,,3,0,2.0
1087894,20,3,2,3,2.0,3,0,3.0
1120427,0,10,1,4,,3,0,2.0
72443,20,3,2,3,2.0,3,0,3.0
102425,0,11,1,5,,3,0,
104564,7,2,2,2,2.0,3,0,2.0
188609,5,2,2,2,1.0,3,1,4.0
197291,66,9,1,3,2.0,3,0,1.0
228853,34,4,2,4,2.0,3,0,3.0
264418,0,11,1,5,2.0,2,0,
275292,0,8,1,2,,3,0,1.0
300551,51,7,1,1,2.0,3,0,2.0
329311,0,4,2,4,,3,0,3.0
363913,0,11,1,5,,3,0,1.0
399952,0,2,2,2,,3,0,3.0
420066,0,3,2,3,,3,0,2.0
427746,0,11,1,5,,2,0,
452637,0,2,2,2,,3,0,
467651,0,8,1,2,,3,0,2.0
498397,0,4,2,4,,3,0,1.0
501705,42,5,2,5,1.0,3,0,4.0
512026,0,4,2,4,,3,0,2.0
559988,0,8,1,2,,1,0,
568590,36,5,2,5,1.0,1,0,
616383,0,8,1,2,,3,1,
663235,92,11,1,5,2.0,3,0,3.0
690828,19,3,2,3,2.0,3,0,2.0
773203,74,10,1,4,2.0,2,0,3.0
784485,0,11,1,5,,3,0,3.0
791185,80,10,1,4,2.0,3,0,2.0
825593,0,11,1,5,,3,0,4.0
891026,56,8,1,2,1.0,3,0,2.0
928563,0,8,1,2,,1,0,
948529,0,4,2,4,,1,0,
964007,0,3,2,3,,2,0,2.0
984065,0,11,1,5,,3,0,2.0
1005818,54,8,1,2,2.0,3,1,2.0
1026891,0,3,2,3,,3,0,4.0
1096970,0,4,2,4,,3,0,2.0
26760,0,11,1,5,,3,0,2.0
49273,92,11,1,5,2.0,3,0,4.0
60040,80,10,1,4,2.0,3,0,2.0
92003,0,10,1,4,,3,0,2.0
149741,2,1,2,1,2.0,3,0,
185328,0,4,2,4,,3,0,3.0
213838,5,2,2,2,2.0,3,1,2.0
214962,20,3,2,3,2.0,3,0,4.0
220763,34,4,2,4,2.0,3,0,4.0
262980,0,3,2,3,,3,0,
305080,46,5,2,5,3.0,3,0,2.0
306901,33,4,2,4,2.0,3,0,2.0
445425,45,5,2,5,2.0,3,0,4.0
467318,0,10,1,4,2.0,2,0,
507021,2,1,2,1,1.0,3,0,2.0
519309,0,4,2,4,,3,0,4.0
584961,0,10,1,4,2.0,1,0,
595588,20,3,2,3,2.0,3,0,3.0
608764,5,2,2,2,1.0,3,1,2.0
636048,0,5,2,5,,3,0,2.0
715301,19,3,2,3,2.0,3,1,2.0
791859,93,11,1,5,3.0,3,0,1.0
791996,0,4,2,4,,3,0,
906942,0,9,1,3,,2,0,
913333,21,3,2,3,2.0,3,0,2.0
1010864,66,9,1,3,2.0,3,0,2.0
1073870,16,3,2,3,1.0,3,0,2.0
22740,57,8,1,2,1.0,3,0,4.0
57311,45,5,2,5,2.0,3,0,3.0
78339,0,3,2,3,,3,0,3.0
131281,0,4,2,4,,2,0,
166781,0,5,2,5,,1,0,
229734,67,9,1,3,2.0,3,0,4.0
247136,0,4,2,4,,3,0,2.0
261601,0,5,2,5,,1,0,
320112,6,2,2,2,2.0,1,0,
331072,0,5,2,5,,3,0,1.0
346246,0,9,1,3,,2,0,
347899,0,4,2,4,1.0,2,0,
380212,8,2,2,2,2.0,3,0,4.0
394035,0,6,2,6,,3,0,
417129,0,10,1,4,,3,0,4.0
432549,8,2,2,2,1.0,3,0,3.0
515803,0,9,1,3,,3,0,
522432,0,7,1,1,,3,0,
590451,0,10,1,4,,3,0,2.0
627321,7,2,2,2,2.0,3,0,2.0
670223,0,2,2,2,2.0,3,0,
754846,0,4,2,4,,2,0,
763208,0,9,1,3,2.0,3,0,
832033,0,4,2,4,,3,0,3.0
851066,0,4,2,4,2.0,3,0,
886413,0,10,1,4,,2,0,
934232,0,4,2,4,,3,0,
1013305,0,8,1,2,,3,0,
1013726,0,12,1,6,,3,0,1.0
1035359,0,9,1,3,,3,1,3.0
1121297,0,10,1,4,,3,0,3.0
20169,34,4,2,4,2.0,3,0,4.0
90187,51,7,1,1,3.0,3,0,2.0
95072,0,2,2,2,,3,0,
96478,17,3,2,3,1.0,3,0,3.0
128388,92,11,1,5,2.0,3,0,4.0
198659,0,1,2,1,,1,0,
222411,0,11,1,5,,2,0,
236546,0,3,2,3,,3,0,2.0
256964,0,9,1,3,,2,0,
287585,0,4,2,4,,2,0,4.0
329028,0,3,2,3,,3,0,3.0
